month,day,wtp1,wtp2
3,25,23832.911364568557,6697.641379858571
3,26,23854.340112027698,6709.198365713242
3,27,23873.79444712182,6720.982955732998
3,28,23891.281585888777,6732.991970328516
3,29,23906.810509039802,6745.221913810867
3,30,23920.391903999975,6757.668982399997
4,1,23931.69249101414,6769.9174014468335
4,2,23941.193318164267,6782.361341383505
4,3,23948.90833688398,6794.9965724689155
4,4,23954.852800934415,6807.8186219721265
4,5,23959.043219892512,6820.822780767121
4,6,23961.49731316633,6834.0041098878155
4,7,23962.23396453813,6847.357447043078
4,8,23961.273177236333,6860.87741309193
4,9,23958.63602953346,6874.558418478908
4,10,23954.344630873908,6888.394669629512
4,11,23948.422078527816,6902.380175305792
4,12,23940.892414774018,6916.5087529220655
4,13,23931.780584609747,6930.7740348207535
4,14,23921.112393989126,6945.1694745084405
4,15,23908.914468588628,6959.688352851874
4,16,23895.214213101106,6974.323784234277
4,17,23880.039771056603,6989.068722671691
4,18,23863.419985172353,7003.915967889516
4,19,23845.384358229436,7018.858171359052
4,20,23825.963014477617,7033.887842294402
4,21,23805.18666156799,7048.997353609195
4,22,23783.08655301397,7064.178947833743
4,23,23759.694451178802,7079.4247429921215
4,24,23735.04259079219,7094.72673843946
4,25,23709.163642994114,7110.076820659384
4,26,23682.090679906396,7125.466769021501
4,27,23653.857139732252,7140.8882614991435
4,28,23624.49679238409,7156.332880347045
4,29,23594.043705637756,7171.79211773944
4,30,23562.53221181623,7187.257381367986
4,31,23529.996874999997,7202.719999999996
5,1,23495.338351407438,7218.68597112315
5,2,23459.662256508396,7234.630055565422
5,3,23423.007289533794,7250.542457613579
5,4,23385.41226812871,7266.413316871125
5,5,23346.91609288231,7282.232714568037
5,6,23307.55771250071,7297.990679821714
5,7,23267.37608962218,7313.677195849648
5,8,23226.410167275288,7329.28220613333
5,9,23184.698835979245,7344.7956205338105
5,10,23142.28090148703,7360.207321358559
5,11,23099.1950531708,7375.507169379909
5,12,23055.47983305037,7390.685009804902
5,13,23011.173605463875,7405.730678196522
5,14,22966.31452738111,7420.6340063466105
5,15,22920.940519359356,7435.384828100005
5,16,22875.08923714173,7449.972985130256
5,17,22828.79804389841,7464.388332666809
5,18,22782.10398311018,7478.620745173595
5,19,22735.043752094483,7492.660121979161
5,20,22687.653676174334,7506.496392858151
5,21,22639.96968348908,7520.119523564337
5,22,22592.027280449445,7533.5195213151
5,23,22543.861527832647,7546.6864402273
5,24,22495.507017521857,7559.610386704788
5,25,22446.997849887877,7572.281524777101
5,26,22398.367611813723,7584.690081389819
5,27,22349.649355359827,7596.826351646481
5,28,22300.875577075305,7608.680704001536
5,29,22252.078197948096,7620.2435854053165
5,30,22203.288543999937,7631.505526400009
6,1,22156.109037789327,7642.108807171202
6,2,22108.99280415727,7652.41304551963
6,3,22061.9665458885,7662.409909235756
6,4,22015.056382420575,7672.0911566042
6,5,21968.287836054937,7681.448640526587
6,6,21921.6858186983,7690.474312604636
6,7,21875.274619128628,7699.160227183174
6,8,21829.07789079078,7707.498545353445
6,9,21783.118640119952,7715.481538916478
6,10,21737.419215392278,7723.101594306647
6,11,21692.00129610281,7730.351216475274
6,12,21646.885882873714,7737.223032734428
6,13,21602.0932878866,7743.709796560792
6,14,21557.643125845803,7749.804391359799
6,15,21513.554305468642,7755.499834189608
6,16,21469.845021501897,7760.789279445695
6,17,21426.532747267993,7765.666022504944
6,18,21383.63422773803,7770.123503330471
6,19,21341.165473134126,7774.155310036183
6,20,21299.141753056392,7777.755182411618
6,21,21257.577591141293,7780.917015406869
6,22,21216.486760245563,7783.634862577701
6,23,21175.882278158344,7785.902939490743
6,24,21135.776403841664,7787.715627088843
6,25,21096.18063419951,7789.067475016438
6,26,21057.105701371052,7789.953204905303
6,27,21018.561570556063,7790.367713620142
6,28,20980.557438366595,7790.306076464562
6,29,20943.101731704795,7789.763550346937
6,30,20906.202107171513,7788.7355769065525
6,31,20869.86545099989,7787.2177856
7,1,20834.097879518595,7785.205996747283
7,2,20798.9047401407,7782.6962245387385
7,3,20764.290612886558,7779.684680000983
7,4,20730.259312423514,7776.167773924479
7,5,20696.81389064445,7772.142119749848
7,6,20663.95663976758,7767.604536415247
7,7,20631.689095965863,7762.5520511632585
7,8,20600.012043525363,7756.981902308295
7,9,20568.925519529745,7750.8915419641435
7,10,20538.42881907242,7744.278638731195
7,11,20508.520500998784,7737.141080344509
7,12,20479.19839417313,7729.4769762811575
7,13,20450.459604275922,7721.284660328716
7,14,20422.300521128476,7712.562693112775
7,15,20394.716826544012,7703.309864585526
7,16,20367.703502706354,7693.52519647392
7,17,20341.25484108056,7683.207944688091
7,18,20315.364451845424,7672.3576016901625
7,19,20290.025273858235,7660.973898822516
7,20,20265.229585144305,7649.056808597235
7,21,20240.969013918148,7636.606546944537
7,22,20217.234550126785,7623.623575422238
7,23,20194.016557527633,7610.108603384777
7,24,20171.304786288427,7596.062590112675
7,25,20149.0883861177,7581.486746901925
7,26,20127.35591992327,7566.382539113931
7,27,20106.095377996753,7550.751688184659
7,28,20085.294192728397,7534.596173595399
7,29,20064.93925384713,7517.9182348017475
7,30,20045.01692419,7500.720373124581
7,31,20025.513056000098,7483.005353600007
8,1,20004.38989959094,7462.7927252882855
8,2,19983.74117086896,7441.954398830991
8,3,19963.545634042544,7420.495273793704
8,4,19943.781398082487,7398.42065702993
8,5,19924.42594846264,7375.736265409161
8,6,19905.45617986085,7352.448228472496
8,7,19886.848429841644,7328.563091014052
8,8,19868.578513506145,7304.087815589059
8,9,19850.62175911416,7279.029784948658
8,10,19832.953044681737,7253.396804401831
8,11,19815.546835545058,7227.197104102366
8,12,19798.377222902767,7200.4393412641275
8,13,19781.41796332349,7173.132602302272
8,14,19764.642519234258,7145.286404899996
8,15,19748.024100371098,7116.910700003626
8,16,19731.535706209877,7088.01587374311
8,17,19715.15016936585,7058.612749279137
8,18,19698.84019995974,7028.712588577799
8,19,19682.57843096931,6998.327094110087
8,20,19666.33746454229,6967.468410479638
8,21,19650.089919281003,6936.149125976555
8,22,19633.808478506762,6904.382274057001
8,23,19617.465939489237,6872.181334750503
8,24,19601.035263650716,6839.560235992873
8,25,19584.48962774432,6806.533354886671
8,26,19567.802476000405,6773.115518887191
8,27,19550.94757324668,6739.322006915938
8,28,19533.89905900009,6705.168550399956
9,1,19518.312825089277,6674.024340456295
9,2,19502.52948641831,6642.611924602346
9,3,19486.531000184055,6610.943850432965
9,4,19470.29971590107,6579.032968899837
9,5,19453.818410695865,6546.892434726191
9,6,19437.070325131746,6514.535706781839
9,7,19420.03919956491,6481.976548418623
9,8,19402.70931102331,6449.229027765892
9,9,19385.065510619475,6416.307517985109
9,10,19367.093261481394,6383.226697486718
9,11,19348.778677223934,6350.001550104878
9,12,19330.108560938257,6316.647365233666
9,13,19311.070444709345,6283.179737923232
9,14,19291.652629672622,6249.6145689356945
9,15,19271.844226580477,6215.96806476138
9,16,19251.635196911186,6182.25673759536
9,17,19231.01639450142,6148.497405273827
9,18,19209.979607701287,6114.707191170981
9,19,19188.517602068183,6080.903524055162
9,20,19166.624163571905,6047.104137906894
9,21,19144.29414235057,6013.32707169439
9,22,19121.52349696787,5979.590669112318
9,23,19098.309339222455,5945.9135782777175
9,24,19074.649979468042,5912.314751388143
9,25,19050.544972468793,5878.813444339585
9,26,19025.995163782078,5845.429216302977
9,27,19001.00273666774,5812.181929262946
9,28,18975.571259526056,5779.091747515509
9,29,18949.70573386208,5746.179137126326
9,30,18923.412642778756,5713.464865348136
9,31,18896.699999999997,5680.9700000000175
10,1,18868.666378677808,5647.645171170052
10,2,18840.207438657482,5614.6013495685565
10,3,18811.337513600636,5581.862787589927
10,4,18782.072915802375,5549.454076967488
10,5,18752.431997102554,5517.400147802591
10,6,18722.435210450858,5485.726267544045
10,7,18692.10517209959,5454.458039920117
10,8,18661.466724448794,5423.621403822335
10,9,18630.546999533122,5393.24263213968
10,10,18599.37548315352,5363.3483305437785
10,11,18567.984079637667,5333.965436228305
10,12,18536.407177263012,5305.121216596499
10,13,18504.68171430756,5276.8432679025955
10,14,18472.8472457498,5249.1595138429275
10,15,18440.946010609376,5222.0982041000625
10,16,18409.022999930618,5195.687912836978
10,17,18377.1260254082,5169.957537144635
10,18,18345.305788657526,5144.936295437898
10,19,18313.615951122352,5120.653725806538
10,20,18282.113204631765,5097.139684314805
10,21,18250.857342594783,5074.424343254579
10,22,18219.911331843337,5052.538189347522
10,23,18189.341385102758,5031.512021902114
10,24,18159.217034131885,5011.37695091856
10,25,18129.611203476656,4992.164395147442
10,26,18100.600284883127,4973.906080099487
10,27,18072.2642123525,4956.634036006306
10,28,18044.686537831774,4940.380595731995
10,29,18017.95450755018,4925.178392638461
10,30,17992.15913900004,4911.06035840008
11,1,17968.17703032006,4898.461312602152
11,2,17945.250432902612,4886.9391113857
11,3,17923.472337543688,4876.524387245876
11,4,17902.939313901894,4867.248026367723
11,5,17883.751578538373,4859.141166568183
11,6,17866.013063455044,4852.235195199626
11,7,17849.831485174465,4846.561747013746
11,8,17835.318414344438,4842.152701983339
11,9,17822.589345870845,4839.040183088227
11,10,17811.76376958746,4837.256554056681
11,11,17802.96524142781,4836.8344170699875
11,12,17796.32145515915,4837.806610427246
11,13,17791.964314615805,4840.206206167868
11,14,17790.030006475616,4844.066507656806
11,15,17790.659073561153,4849.42104712879
11,16,17793.99648866251,4856.303583192415
11,17,17800.19172890125,4864.748098294398
11,18,17809.398850603742,4874.788796145631
11,19,17821.776564724147,4886.460099104219
11,20,17837.488312771762,4899.79664552185
11,21,17856.70234328606,4914.833287047908
11,22,17879.591788829464,4931.605085895479
11,23,17906.334743507687,4950.147312066505
11,24,17937.114341024208,4970.495440536501
11,25,17972.11883325172,4992.685148401471
